millis,datetime,lon,lat,ax,ay,az,temp,pres
360255,,,,515,503,616,,
361005,,,,515,503,617,,
362020,,,,,,,20.37,1042.80
362223,,,,515,503,617,,
362999,,,,515,503,617,,
364015,,,,,,,20.35,1041.50
364197,,,,515,503,616,,
365025,,,,515,503,617,,
366051,,,,,,,20.36,1040.80
366252,,,,515,503,617,,
366989,,,,515,503,616,,
368013,,,,,,,20.37,1040.10
368214,,,,515,503,617,,
368984,,,,515,503,617,,
370028,,,,,,,20.35,1041.50
370231,,,,515,503,617,,
370980,,,,515,503,616,,
371994,,,,,,,20.35,1043.50
372195,,,,515,503,617,,
372973,,,,515,503,617,,
373989,,,,,,,20.36,1043.50
374190,,,,515,503,617,,
374996,,,,515,503,617,,
375984,,,,,,,20.35,1042.80
376266,,,,515,503,617,,
376956,,,,515,503,617,,
377960,,,,,,,20.32,1040.80
378161,,,,516,503,617,,
378949,,,,515,503,617,,
379983,,,,,,,20.33,1040.80
380184,,,,515,503,616,,
380952,,,,515,503,617,,
381958,,,,,,,20.36,1040.80
382156,,,,515,503,617,,
382947,,,,515,503,616,,
383952,,,,,,,20.34,1040.80
384153,,,,515,503,617,,
384970,,,,515,503,617,,
385947,,,,,,,20.32,1040.80
386146,,,,515,503,617,,
386985,,,,515,503,617,,
387934,,,,,,,20.33,1042.20
388134,,,,515,503,617,,
388925,,,,515,503,617,,
389965,,,,,,,20.32,1042.20
390164,,,,515,503,616,,
390926,,,,515,503,616,,
391931,,,,,,,20.32,1042.80
392132,,,,515,503,617,,
392921,,,,515,503,616,,
393926,,,,,,,20.32,1041.50
394125,,,,515,503,616,,
394944,,,,515,503,617,,
395921,,,,,,,20.32,1040.80
396120,,,,515,503,617,,
396916,,,,516,503,617,,
397922,,,,,,,20.31,1042.80
398131,,,,515,503,617,,
398905,,,,515,503,617,,
399939,,,,,,,20.31,1040.10
400138,,,,516,503,617,,
400900,,,,515,503,617,,
401905,,,,,,,20.30,1044.20
402104,,,,515,503,617,,
402892,,,,515,503,616,,
403898,,,,,,,20.31,1040.80
404101,,,,515,503,617,,
